base_profile,model,Behavioral,Firmographic,difference_behavioral_minus_firmographic
A,apertus-70b-instruct-2509,0.7666666666666666,0.3,0.4666666666666666
A,meta-llama-3.1-8b-instruct,0.7999999999999999,0.39999999999999997,0.39999999999999997
A,openai-gpt-oss-120b,0.9333333333333332,0.0,0.9333333333333332
B,apertus-70b-instruct-2509,0.8333333333333334,0.0,0.8333333333333334
B,meta-llama-3.1-8b-instruct,0.8666666666666667,0.16666666666666666,0.7000000000000001
B,openai-gpt-oss-120b,1.0,0.0,1.0
C,apertus-70b-instruct-2509,0.6666666666666666,0.3666666666666667,0.29999999999999993
C,meta-llama-3.1-8b-instruct,0.6,0.39999999999999997,0.2
C,openai-gpt-oss-120b,0.6,0.0,0.6
D,apertus-70b-instruct-2509,0.6666666666666666,0.4666666666666666,0.2
D,meta-llama-3.1-8b-instruct,0.6333333333333333,0.6,0.033333333333333326
D,openai-gpt-oss-120b,0.6666666666666666,0.0,0.6666666666666666
E,apertus-70b-instruct-2509,0.5666666666666667,0.6666666666666666,-0.09999999999999998
E,meta-llama-3.1-8b-instruct,0.8666666666666667,0.16666666666666666,0.7000000000000001
E,openai-gpt-oss-120b,1.0,0.06666666666666667,0.9333333333333333
